group_code,group_name,cust_name,acc_manager,acc_num,date,total_distribution,total_energy,peak_max,offpeak_max,present_bill,proposed_bill,dollar_diff,percent_diff,rate_class,meterlatitude,meterlongitude
703,Oil Company,Location 1,manager_A,7103248499,201401,84.5,7839,73.9,84.5,1646.79,1903.29,256.5,0.16,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201402,33,25060,19.5,33,2589.89,2610.43,20.54,0.01,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201403,77.2,51542,77.2,20.5,4879.24,4908.37,29.13,0.01,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201404,93.4,30570,93.4,49.7,3414.41,3590.86,176.45,0.05,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201405,68.2,72651,62,68.2,6403.33,6306.15,-97.18,-0.02,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201406,94.4,1790,54.3,94.4,1259.83,1574.56,314.73,0.25,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201407,80.8,11487,77,80.8,1895.59,2123.81,228.22,0.12,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201408,64.3,72383,19.7,64.3,6356.68,6249.03,-107.65,-0.02,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201409,49.4,92370,39.9,49.4,7756.39,7509.94,-246.45,-0.03,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201410,68.4,96168,68.4,53.7,8170.82,7963.71,-207.11,-0.03,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201411,65.6,27184,11.7,65.6,2971.08,3079.77,108.69,0.04,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201412,88,6930,31.8,88,1602.32,1873.63,271.31,0.17,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201501,7.9,3142,7.9,0.5,773.16,821.18,48.02,0.06,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201502,94.8,59788,43.3,94.8,5618.2,5661.54,43.34,0.01,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201503,83,11161,3.2,83,1886.07,2122.44,236.37,0.13,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201504,43.4,44501,33.5,43.4,4120.63,4081.1,-39.53,-0.01,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201505,50.1,64517,13.1,50.1,5669.39,5555.96,-113.43,-0.02,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201506,95.6,80099,95.6,27.4,7148.99,7099.29,-49.7,-0.01,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201507,87.9,77353,87.9,34.2,6890.41,6830.43,-59.98,-0.01,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201508,57,52301,25.6,57,4798.89,4763.64,-35.25,-0.01,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201509,32.4,56816,8.7,32.4,4970.68,4840.17,-130.51,-0.03,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201510,76.3,13901,15.3,76.3,2046.29,2249.61,203.32,0.1,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201511,35.4,72408,33.1,35.4,6162.04,5967.28,-194.76,-0.03,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 1,manager_A,7103248499,201512,58.2,23100,58.2,57.7,2614.05,2719.66,105.61,0.04,GS >500 kW,39.9546645,-75.1966983
703,Oil Company,Location 2,manager_A,1503249183,201401,97.9,58946,97.9,28.8,5576.04,5632.68,56.64,0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201402,89,86929,4.6,89,7617.05,7515.37,-101.68,-0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201403,37.3,65811,14,37.3,5679.53,5521.49,-158.04,-0.03,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201404,34.8,41653,34.8,28.9,3848.26,3796.24,-52.02,-0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201405,85.9,73888,85.9,21.5,6616.59,6566.87,-49.72,-0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201406,93.3,48245,93.3,10.2,4741.12,4834.2,93.08,0.02,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201407,77,45688,1.6,77,4438.25,4494.29,56.04,0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201408,75.5,21034,75,75.5,2576.53,2743.93,167.4,0.06,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201409,32.4,11551,32.4,18.5,1571.28,1653.51,82.23,0.05,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201410,94.7,23814,94.7,28.5,2915.87,3127.99,212.12,0.07,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201411,50.5,33600,50.5,39.7,3350.24,3383.33,33.09,0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201412,32.2,26527,13.4,32.2,2694.62,2705.86,11.24,0,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201501,92.1,54183,90.8,92.1,5178.9,5240.46,61.56,0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201502,87,80772,9.9,87,7141.06,7062.3,-78.76,-0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201503,99,30175,99,56.9,3422.82,3617.99,195.17,0.06,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201504,70.8,96244,25.9,70.8,8192.84,7992.61,-200.23,-0.02,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201505,82.7,85270,81.5,82.7,7449.62,7336.77,-112.85,-0.02,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201506,59.1,15890,24.7,59.1,2078.7,2220.91,142.21,0.07,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201507,92,99590,64.1,92,8588.29,8436.14,-152.15,-0.02,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201508,7.7,60016,7.1,7.7,5043.04,4823.14,-219.9,-0.04,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201509,79.5,77100,79.5,55.2,6814.29,6730.21,-84.08,-0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201510,87.8,7177,87.8,14.1,1619.51,1889.06,269.55,0.17,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201511,45.3,43003,45.3,35.4,4021.05,3994.28,-26.77,-0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 2,manager_A,1503249183,201512,61.1,53928,30.1,61.1,4948.95,4918.4,-30.55,-0.01,GS >500 kW,39.9546847,-75.2032644
703,Oil Company,Location 3,manager_A,3082024921,201401,63.5,20563,63.5,43,2459.56,2593.05,133.49,0.05,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201402,38.2,63007,28.1,38.2,5475.07,5332.91,-142.16,-0.03,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201403,30,46135,30,15.4,4152.22,4064.68,-87.54,-0.02,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201404,88.4,77743,13.2,88.4,6923.1,6862.79,-60.31,-0.01,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201405,62.6,30072,16.3,62.6,3167.57,3253.65,86.08,0.03,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201406,47.4,95648,47.4,21.5,7988.96,7721.09,-267.87,-0.03,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201407,69.5,45075,69.5,23.4,4341.21,4377.55,36.34,0.01,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201408,85.6,59357,83.2,85.6,5523.27,5540.95,17.68,0,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201409,50.2,20546,34,50.2,2367.84,2461.38,93.54,0.04,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201410,65.1,19485,65.1,58.8,2389.48,2532.86,143.38,0.06,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201411,87.1,2999,82.7,87.1,1300.98,1588.06,287.08,0.22,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201412,46.1,55765,46.1,36.5,4984.91,4900.58,-84.33,-0.02,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201501,51,62063,51,41.2,5491.21,5392.03,-99.18,-0.02,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201502,78.5,1861,78.5,53.9,1157.04,1423.58,266.54,0.23,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201503,63.4,91565,63.4,35.8,7791.13,7590.61,-200.52,-0.03,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201504,78.3,87809,78.3,4.1,7610.38,7472.36,-138.02,-0.02,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201505,40.4,87810,22.7,40.4,7352.73,7100.63,-252.1,-0.03,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201506,94.8,472,76.3,94.8,1163.57,1485.7,322.13,0.28,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201507,99.3,44002,99.2,99.3,4463.27,4594.35,131.08,0.03,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201508,21.4,63032,0.8,21.4,5362.7,5169.87,-192.83,-0.04,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201509,93.8,59070,35.8,93.8,5557.48,5601.19,43.71,0.01,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201510,75.6,70768,37.7,75.6,6312.24,6246.18,-66.06,-0.01,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201511,99.4,27426,99.4,27.6,3219.09,3428.38,209.29,0.07,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 3,manager_A,3082024921,201512,79.9,60613,17.5,79.9,5578.84,5573.45,-5.39,0,GS >500 kW,39.9487583,-75.1640724
703,Oil Company,Location 4,manager_A,6198941045,201401,85.7,8391,72.5,85.7,1696.4,1953.92,257.52,0.15,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201402,59.7,87166,35.9,59.7,7435.61,7244.62,-190.99,-0.03,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201403,78.7,14570,41.4,78.7,2112.85,2320.26,207.41,0.1,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201404,93.3,41931,67.5,93.3,4266.94,4389.7,122.76,0.03,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201405,40.5,23045,40.5,10.1,2489.56,2542.15,52.59,0.02,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201406,57.3,20660,47.1,57.3,2424.69,2539.06,114.37,0.05,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201407,41.1,21018,28,41.1,2341.41,2405.34,63.93,0.03,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201408,82.3,98352,82.3,54.8,8429.36,8253.82,-175.54,-0.02,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201409,47.9,82336,24.1,47.9,6992.63,6788.83,-203.8,-0.03,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201410,80.7,46761,80.7,36.8,4543.99,4606.12,62.13,0.01,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201411,90.1,2818,90.1,40,1307.79,1604.75,296.96,0.23,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201412,58,22342,50.6,58,2555.76,2664.34,108.58,0.04,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201501,40.6,34035,40.6,28,3315.59,3316.83,1.24,0,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201502,71.5,79243,71.5,42.3,6920.83,6802.6,-118.23,-0.02,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201503,61.7,1939,61.7,8.6,1048.66,1264.26,215.6,0.21,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201504,60,28333,60,38.2,3019.29,3105.72,86.43,0.03,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201505,91.2,78679,70,91.2,7012.43,6956.15,-56.28,-0.01,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201506,23.4,13256,18,23.4,1638.13,1685.26,47.13,0.03,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201507,95,4279,56.7,95,1450.83,1755.67,304.84,0.21,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201508,93.3,67656,93.3,54.4,6198.89,6200.74,1.85,0,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201509,94.5,12441,22.4,94.5,2060.4,2325.37,264.97,0.13,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201510,75,5147,48.9,75,1380.02,1620.58,240.56,0.17,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201511,84.5,12552,47.1,84.5,2000.74,2235.09,234.35,0.12,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 4,manager_A,6198941045,201512,91.8,40645,91.8,61.6,4160.16,4284.45,124.29,0.03,GS >500 kW,39.9483396,-75.157019
703,Oil Company,Location 5,manager_A,767809083,201401,94.5,18419,77.7,94.5,2509.35,2746.22,236.87,0.09,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201402,82,23896,26.7,82,2835.67,3009.18,173.51,0.06,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201403,22.7,78293,22.7,14.1,6517.64,6256.99,-260.65,-0.04,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201404,71.2,85857,71.2,1.2,7415.5,7265.28,-150.22,-0.02,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201405,66.3,88317,66.3,20.2,7566.93,7390.4,-176.53,-0.02,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201406,21.9,37320,21.9,6.3,3435.13,3364.65,-70.48,-0.02,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201407,20.9,71332,19,20.9,5982.63,5749.28,-233.35,-0.04,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201408,76,31289,2.6,76,3350.08,3470.79,120.71,0.04,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201409,94.7,57263,40.3,94.7,5427.89,5482.8,54.91,0.01,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201410,81.3,28879,70.3,81.3,3205.13,3353.11,147.98,0.05,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201411,76.3,79706,76.3,0.3,6988.24,6882.29,-105.95,-0.02,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201412,77.5,18484,77.5,58.7,2398.63,2584.03,185.4,0.08,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201501,73.1,51207,73.1,21.4,4826.21,4844.56,18.35,0,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201502,55.6,31859,55.6,11,3254.17,3310.79,56.62,0.02,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201503,92.5,893,72.5,92.5,1179.54,1492.77,313.23,0.27,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201504,64.8,91104,64.8,24.9,7766.03,7571.89,-194.14,-0.02,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201505,5.1,37011,0.4,5.1,3297.69,3178.09,-119.6,-0.04,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201506,34.2,30681,14.9,34.2,3020.18,3017.92,-2.26,0,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201507,95.8,33136,95.8,38.1,3623.43,3795.05,171.62,0.05,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201508,86.5,36741,72.3,86.5,3830.93,3957.61,126.68,0.03,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201509,93.2,12613,72.2,93.2,2064.48,2324.73,260.25,0.13,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201510,96.9,11677,96.9,2.8,2019.34,2295.13,275.79,0.14,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201511,18.3,44385,16,18.3,3941.23,3826.71,-114.52,-0.03,GS >500 kW,39.9428555,-75.1449653
703,Oil Company,Location 5,manager_A,767809083,201512,50.2,60286,45.6,50.2,5352.32,5259.08,-93.24,-0.02,GS >500 kW,39.9428555,-75.1449653
405,Department Store,Location 1,manager_A,6111263682,201401,82.1,26227,82.1,74.9,3011.41,3174.26,162.85,0.05,GS 100-500 kW,39.9263833,-75.1429793
405,Department Store,Location 1,manager_A,6111263682,201402,25.8,61086,17.8,25.8,5246.48,5076.03,-170.45,-0.03,GS 100-500 kW,39.9263833,-75.1429793
405,Department Store,Location 1,manager_A,6111263682,201403,82.4,67764,82.4,33.6,6132.88,6101.41,-31.47,-0.01,GS 100-500 kW,39.9263833,-75.1429793
405,Department Store,Location 1,manager_A,6111263682,201404,68.2,15813,68.2,56,2134.8,2304.76,169.96,0.08,GS 100-500 kW,39.9263833,-75.1429793
405,Department Store,Location 1,manager_A,6111263682,201405,65.7,76254,65.7,3.3,6656.92,6535.28,-121.64,-0.02,GS 100-500 kW,39.9263833,-75.1429793
